"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/mgl/Documents/projects/Find/find/App.js", "JavaScript", 56, 0, 6, 5, 67
"/Users/mgl/Documents/projects/Find/find/app.json", "JSON", 0, 36, 0, 1, 37
"/Users/mgl/Documents/projects/Find/find/babel.config.js", "JavaScript", 6, 0, 0, 2, 8
"/Users/mgl/Documents/projects/Find/find/components/AppInput.js", "JavaScript", 49, 0, 0, 5, 54
"/Users/mgl/Documents/projects/Find/find/components/AppTextInput.js", "JavaScript", 116, 0, 3, 5, 124
"/Users/mgl/Documents/projects/Find/find/components/Data/artist.js", "JavaScript", 94, 0, 0, 2, 96
"/Users/mgl/Documents/projects/Find/find/components/Data/categories.js", "JavaScript", 34, 0, 4, 3, 41
"/Users/mgl/Documents/projects/Find/find/components/Data/cocktails.js", "JavaScript", 62, 0, 0, 2, 64
"/Users/mgl/Documents/projects/Find/find/components/Data/markers.js", "JavaScript", 19, 0, 0, 2, 21
"/Users/mgl/Documents/projects/Find/find/components/Data/stockEvents.js", "JavaScript", 870, 0, 2, 14, 886
"/Users/mgl/Documents/projects/Find/find/components/Data/venue.js", "JavaScript", 43, 0, 0, 1, 44
"/Users/mgl/Documents/projects/Find/find/components/Icons.js", "JavaScript", 57, 0, 0, 1, 58
"/Users/mgl/Documents/projects/Find/find/components/ImageInputs/ImageImput.js", "JavaScript", 115, 0, 27, 16, 158
"/Users/mgl/Documents/projects/Find/find/components/ImageInputs/ImageImputList.js", "JavaScript", 52, 0, 5, 5, 62
"/Users/mgl/Documents/projects/Find/find/components/ImageInputs/VideoInput.js", "JavaScript", 142, 0, 31, 18, 191
"/Users/mgl/Documents/projects/Find/find/components/ImageInputs/VideoInputList.js", "JavaScript", 35, 0, 1, 4, 40
"/Users/mgl/Documents/projects/Find/find/components/ImageInputs/photoInput.js", "JavaScript", 57, 0, 14, 9, 80
"/Users/mgl/Documents/projects/Find/find/components/ModalScreen.js", "JavaScript", 27, 0, 1, 6, 34
"/Users/mgl/Documents/projects/Find/find/components/Screen.js", "JavaScript", 32, 0, 3, 9, 44
